id_alamat,id_pelanggan,alamat,kota,provinsi
1,1,Margonda,Depok,Jawa Barat
2,2,Bekasi Timur,Bekasi,Jawa Barat
3,3,Margonda,Depok,Jawa Barat
4,4,TMII,Jakarta Timur,DKI Jakarta
5,5,Bekasi Barat,Bekasi,Jawa Barat
6,6,Jatinegara,Jakarta Timur,DKI Jakarta
7,7,Cempaka Emas,Jakarta Utara,DKI Jakarta
8,8,Kebon Jeruk,Jakarta Pusat,DKI Jakarta
9,9,Cempaka Emas,Jakarta Utara,DKI Jakarta
10,10,Daan Mogot,Tangerang,Jawa Barat
11,11,TMII,Jakarta Timur,DKI Jakarta
12,12,Depok,Depok,Jawa Barat
13,13,TMII,Jakarta Timur,DKI Jakarta
14,14,Bekasi Timur,Bekasi,Jawa Barat
15,15,Kemang,Jakarta Selatan,DKI Jakarta
16,16,Cilandak,Jakarta Selatan,DKI Jakarta
17,17,Bekasi Timur,Bekasi,Jawa Barat
18,18,Bekasi Barat,Bekasi,Jawa Barat
19,19,Kebon Jeruk,Jakarta Pusat,DKI Jakarta
20,20,Slipi,Jakarta Barat,DKI Jakarta
21,21,Priuk,Jakarta Utara,DKI Jakarta
22,22,Depok Cinere,Depok,Jawa Barat
23,23,Cilandak,Jakarta Selatan,DKI Jakarta
24,24,Kukusan,Depok,Jawa Barat
25,25,Kebon Jeruk,Jakarta Pusat,DKI Jakarta
26,26,Priuk,Jakarta Utara,DKI Jakarta
27,27,Kemang,Jakarta Selatan,DKI Jakarta
28,28,Kukusan,Depok,Jawa Barat
29,29,Bekasi Timur,Bekasi,Jawa Barat
30,30,Priuk,Jakarta Utara,DKI Jakarta
31,31,Cempaka Emas,Jakarta Utara,DKI Jakarta
32,32,Cempaka Emas,Jakarta Utara,DKI Jakarta
33,33,Priuk,Jakarta Utara,DKI Jakarta
34,34,Ragunan,Jakarta Selatan,DKI Jakarta
35,35,Cilandak,Jakarta Selatan,DKI Jakarta
36,36,Bekasi Timur,Bekasi,Jawa Barat
37,37,Daan Mogot,Tangerang,Jawa Barat
38,38,Kukusan,Depok,Jawa Barat
39,39,TMII,Jakarta Timur,DKI Jakarta
40,40,Bekasi Timur,Bekasi,Jawa Barat
41,41,Kemang,Jakarta Selatan,DKI Jakarta
42,42,Ragunan,Jakarta Selatan,DKI Jakarta
43,43,Kemang,Jakarta Selatan,DKI Jakarta
44,44,Depok,Depok,Jawa Barat
45,45,Cempaka Emas,Jakarta Utara,DKI Jakarta
46,46,Cempaka Emas,Jakarta Utara,DKI Jakarta
47,47,Depok Cinere,Depok,Jawa Barat
48,48,Slipi,Jakarta Barat,DKI Jakarta
49,49,Cempaka Emas,Jakarta Utara,DKI Jakarta
50,50,TMII,Jakarta Timur,DKI Jakarta
51,51,Kukusan,Depok,Jawa Barat
52,52,Tanah Abang,Jakarta Pusat,DKI Jakarta
53,53,Depok Cinere,Depok,Jawa Barat
54,54,Daan Mogot,Tangerang,Jawa Barat
55,55,Tanah Abang,Jakarta Pusat,DKI Jakarta
56,56,TMII,Jakarta Timur,DKI Jakarta
57,57,Bekasi Timur,Bekasi,Jawa Barat
58,58,Depok,Depok,Jawa Barat
59,59,TMII,Jakarta Timur,DKI Jakarta
60,60,Margonda,Depok,Jawa Barat
61,61,TMII,Jakarta Timur,DKI Jakarta
62,62,Daan Mogot,Tangerang,Jawa Barat
63,63,Bekasi Barat,Bekasi,Jawa Barat
64,64,Depok,Depok,Jawa Barat
65,65,Bekasi Timur,Bekasi,Jawa Barat
66,66,Margonda,Depok,Jawa Barat
67,67,Cempaka Emas,Jakarta Utara,DKI Jakarta
68,68,Tanah Abang,Jakarta Pusat,DKI Jakarta
69,69,Kebon Jeruk,Jakarta Pusat,DKI Jakarta
70,70,Depok Cinere,Depok,Jawa Barat
71,71,Kemang,Jakarta Selatan,DKI Jakarta
72,72,Depok Cinere,Depok,Jawa Barat
73,73,Ragunan,Jakarta Selatan,DKI Jakarta
74,74,Depok Cinere,Depok,Jawa Barat
75,75,Priuk,Jakarta Utara,DKI Jakarta
76,76,Jatinegara,Jakarta Timur,DKI Jakarta
77,77,Tanah Abang,Jakarta Pusat,DKI Jakarta
78,78,Depok,Depok,Jawa Barat
79,79,Depok,Depok,Jawa Barat
80,80,Kemang,Jakarta Selatan,DKI Jakarta
81,81,Kebon Jeruk,Jakarta Pusat,DKI Jakarta
82,82,Lenteng Agung,Jakarta Selatan,DKI Jakarta
83,83,Cempaka Emas,Jakarta Utara,DKI Jakarta
84,84,Slipi,Jakarta Barat,DKI Jakarta
85,85,Slipi,Jakarta Barat,DKI Jakarta
